FirstName,SecondName,ThirdName,LastName,IndividualAlias
Steven Guilbeault,,,,
Arne Duncan,,,,
Steven Fletcher,,,,"FLETCHER  The Hon. Steven John  P.C.  B.Sc.  M.B.A. , Steven John Fletcher , Стивен Флетчер , ستيفن فليتشير , The Hon. Steven John  P.C.  B.Sc.  M.B.A. FLETCHER "
Steve Nordick,,,,
Lone Dybkjær,,,,로네 뒤브키에르 
Steve D'Hulster,,,,
Stasys Brundza,,,,"Brundza  Stasys , Брундза  Стасис Казевич "
Maj Britt Theorin,,,,
Egidijus Bičkauskas,,,,
Stephen Owen,,,,
Stephen McNeil,,,,
Stepan Demirchyan,,,,"Ստեփան Դեմիրճյան , استپان دمیرچیان , Сцяпан Карэнавіч Дземірчан , Stepan Demirtchian , Stepan Demirchyan , Степан Каренович Демирчян , Ստեփան Կարենի Դեմիրճյան , Демирчян  Степан Каренович "
Scott Brison,,,,"スコット・ブライソン , Скотт Брайсон , اسکات بریسون "
Adam Ingram,,,,
Russ Hiebert,,,,"HIEBERT  Russ  B.A.  M.B.A.  LL.B. , Russ  B.A.  M.B.A.  LL.B. HIEBERT "
Rusmaeni Sanmohamat,,,,Sanmohamat  Rusmaeni 
Rupert Matthews,,,,
Jeff Agenbroad,,,,
Sylwester Chruszcz,,,,
Nayda Venegas,,,,
Charles Adu Boahen,,,,
Carlos Kingsley Ahenkorah,,,,Carlos Kingsley Ahenkorah 
Ľubomír Vážny,,,,Vážny  Ľubomír 
Ante Prkačin,,,,
Momotaz Begom,,,,"Momtaz Begum , मुमताज बेगम , ممتاز بیگم , মমতাজ বেগম "
Evan Bayh,,,,"Еван Бай , エヴァン・バイ , ایون بایه , 埃文·贝赫 , إيفان بايه , 埃文·貝赫 , Bayh  Evan , Эван Бай "
Markwayne Mullin,,,,"مارکوین مولین , マークウェイン・モーリン , Mullin  Markwayne , 馬奎恩·穆林 "
Ľubomír Jahnátek,,,,Jahnátek  Ľubomír 
Ingrid Antonijevic,,,,
Sonny Au,,,,
Richard Miller,,,,"Ричард Миллер , Miller Richard , ريتشارد ميلر "
Richard Marceau,,,,
Richard Legendre,,,,
Dick Harris,,,,"HARRIS  Richard M. , 迪克·哈理斯 , Dick Harris , ديك هاريس , Richard M. HARRIS "
Richard Grisé,,,,
Bengt Berg,,,,Bengt 
Richard Ferrand,,,,"Ферран  Ришар , Ricardus Ferrand , ريشار فيرون , 리샤르 페랑 , リシャール・フェラン , 理查德·費朗 , 理查德·费朗 "
Richard Dell'Agnola,,,,Ришар Делль Аньола 
Richard Cazenave,,,,
Richard Bélisle,,,,
Richard C. Breeden,,,,
Richard Biefnot,,,,
ONOUVIET Richard-Auguste,,,,Richard Auguste Onouviet 
Kim Traavik,,,,
Ricardo Tarno,,,,"Рикардо Тарно , Tarno Blanco  Ricardo , Ricardo Tarno Blanco "
Ricardo Nuñez,,,,
Dmitry Pevtsov,,,,
Louis Sylvain Goma,,,,
Carmen Avendaño,,,,
Imer Selmani,,,,
Bete Mendes,,,,
Francisco Duque,,,,
Kristine Reeves,,,,
Lauren Poe,,,,
John Bosco Ikojo,,,,
Dolores Villarino,,,,
LaToya Cantrell,,,,
Ieuan Wyn Jones,,,,"愛恩·維恩·瓊斯 , イェイアン・ウィン・ジョーンズ "
Robert Sagna,,,,
Zisimopoulos Polyvios,,,,"Ζησιμόπουλος Παναγιώτη Πολύβιος , Πολύβιος Ζησιμόπουλος , Polývios Zisimópoulos "
Gabriel Elorriaga Fernández,,,,
Polycarpe Abah Abah,,,,
David Wilshire,,,,デイヴィッド・ウィルシャー 
Nigel Waterson,,,,
John Butterfill,,,,
Ann Winterton,,,,
Percy Mockler,,,,Mockler  Percy 
Percy Downe,,,,"Percy Downe , Downe  Percy E. "
Agneta Gille,,,,Agneta 
Kazuo Shii,,,,"Kazuo Shii , 志位和夫 , しい かずお , 志井和夫  , 志位 和夫君 , Kazuo Šii , Кадзуо Сии , 시이 가즈오 "
Anders Karlsson,,,,Anders 
Ann-Christin Ahlberg,,,,Ann-Christin 
Anders Ygeman,,,,"爾安德 , Anders "
Hillevi Larsson,,,,"Hillevi , Хиллеви Ларссон "
Pepe Auth Stewart,,,,"Auth , Pepe Auth "
Bo Bernhardsson,,,,Bo 
Caroline Helmersson Olsson,,,,Caroline 
Diego Borja,,,,
"John Taylor, Baron Taylor of Warwick",,,,
"George Mountbatten, 4th Marquess of Milford Haven",,,,
"Maurice Saatchi, Baron Saatchi",,,,
Pascale Got,,,,
Jonathan Sacks,,,,
Pascale Boistard,,,,"Буастар  Паскаль , パスカル・ボワタール "
Fiona Shackleton,,,,
Pascal Popelin,,,,
Pascal Ménage,,,,
Pascal Meunier,,,,
Pascal Mailhos,,,,
Pascal Jan,,,,
Pascal Durand,,,,
Pascal Deguilhem,,,,
Pascal Cherki,,,,
Pascal Bérubé,,,,
Brinda Karat,,,,
Ambika Soni,,,,
Ülker Radziwill,,,,
Konstantopoulos - Nikolaos,,,,"ニコス・コンスタントプリオス , Никос Константопулос , Nikos Konstandopulos , Nikos Konstantopoulos , Νίκος Κωνσταντόπουλος , 尼科斯·康斯坦托普洛斯 , Níkos Konstantópoulos , Κωνσταντόπουλος Ανδρέα Νικόλαος "
Nikolopoulos Nikolaos,,,,"Νικολόπουλος Ιωάννου Νικόλαος , Níkos Nikolópoulos , Νίκος Νικολόπουλος "
Sonthi Boonyaratglin,,,,
Nasser Mohammed Al-Ahmed Al-Sabah,,,,
Neko Hnepeune,,,,"Hnepeune  Neko , Néko Hnepeune "
Erki Nool,,,,"埃爾基·諾爾 , ارکی نول , Еркі Ноол , Эрки Ноол , Erki Nols , Էրկի Նոոլ , 에르키 놀 , Эркі Ноал , ארקי נול , エルキ・ノール , Ноол  Эрки , Noolõ Erki "
Natsagiin Bagabandi,,,,
Nycole Turmel,,,,"TURMEL  Nycole , 妮科爾·特梅爾 , ニコル・テュルメル "
"Dr. Hj. NURHAYATI ALI ASSEGAF, M.SI",,,,Nurhayati Ali Assegaf 
Michael Spicer,,,,"迈克尔·斯派塞 , 邁克爾·斯派塞 , Michael Spicer  Baron Spicer "
Michael Lord,,,,"Michael Lord  Baron Framlingham , Майкл Лорд , ميخائيل لورد "
Mukul Roy,,,,
